epoch,train_loss,test_loss
1,451721.51226649224,39840.461801845304
2,370611.6001716613,34003.77391008538
3,328858.1216704735,30838.115383189586
4,303707.09015815536,29202.122703223362
5,291315.0767777714,28108.759707772453
6,296469.301276532,30136.77985778779
7,291443.10195122316,28866.349807885534
8,280805.152515208,26488.865036980245
9,284971.25237245805,25950.754469852032
10,233157.45077604812,18599.60789989713
11,203522.65432614594,17674.28326547222
12,175855.33381775703,17057.171509367636
13,167808.5601243716,16291.471658024253
14,159594.55405315923,15403.365321769734
15,150423.12967359665,13377.475841134194
16,184502.69167433566,20201.03422836906
17,163822.12497888986,11555.569685065408
18,116039.14655384555,11234.440592616045
19,106126.13385786442,9962.00759589669
20,75914.51847454358,6056.592843964812
21,55806.22541068559,5278.828880729248
22,50478.41720436298,4883.799631753496
23,47255.47581907642,4693.3249032291205
24,45786.307249856654,4603.324595508839
25,44796.38176146917,4505.655316362828
26,43961.03096012596,4465.101672372007
27,43531.11167681778,4348.7194183385855
28,42523.745544428006,4270.029119748085
29,41790.38994105543,4224.933990183057
30,41195.928359029094,4150.71721475059
31,40647.97250220567,4126.279742101759
32,40212.995313676794,4055.0955088104934
33,39738.026688325626,4023.375152642586
34,39263.62813674892,3968.355494128949
35,38913.48647961353,3914.250108195637
36,38264.45231837119,3863.3333309984746
37,37772.25181809326,3867.544010848609
38,37485.410738893486,3768.6502100360412
39,36880.111585015264,3786.3058492573664
40,36479.74477023507,3674.5784471016786
41,35922.83515227569,3632.3505102378213
42,35531.18432749336,3587.986920609948
43,35163.99227125832,3611.6199471910613
44,34671.04291630235,3490.5013394519774
45,34283.51353995401,3486.707034444718
46,33872.52018930715,3411.701643927945
47,33454.180025276706,3362.5640169733742
48,33272.79881378039,3414.215065398618
49,33307.780203568924,3303.400146271924
50,32658.507363461496,3231.380119114597
51,32195.047982890945,3214.7841886138735
52,32505.099186922565,3256.674632885817
53,31578.132030650984,3267.475330230088
54,31401.28066961988,3125.6631767760628
55,30793.40674903682,3076.2865383186013
56,30211.699814022726,3040.1137245077466
57,30064.854297603786,3023.011834687103
58,30591.055071866864,3105.9175497646775
59,29898.28188852364,3011.4805684225066
60,29431.739718840545,3005.1217709260563
61,29241.37090874348,2944.841883381422
62,28962.282852287466,2922.8275373931046
63,28693.16707758196,2911.81887679453
64,28629.682617589184,2962.7820695611476
65,28585.593943167376,2896.6442602837046
66,28051.14248322343,2825.394113515324
67,27805.52494174316,2805.3119507579686
68,27858.199629828476,2770.2603657299187
69,27688.466700471603,2751.4364694243964
70,27397.745713195498,2776.551795885751
71,27167.118086762046,2786.5539184137247
72,27225.864911058765,2757.9386957745046
73,27029.18340942301,2849.6971030453133
74,26928.53859758659,2746.069127254569
75,27076.763912693994,2809.2167577748387
76,27226.72502713251,2733.029956216246
77,26821.46599082188,2684.1349630595064
78,26474.053587977814,2690.2369740455524
79,26344.497246402803,2704.579253242756
80,26136.573667621644,2619.9001445859017
81,25868.719727892327,2612.2856669303474
82,25675.166084455286,2583.244319630933
83,25560.58280885594,2583.548091619238
84,25532.61413866328,2614.5419744274855
85,25602.13568943785,2604.223113396947
86,25438.08051229074,2566.9124543006415
87,25616.64480600393,2563.3097259768483
88,25777.37696424984,2579.8920412282737
89,25481.709944843064,2563.9316085652576
90,25260.561159676505,2531.953265330544
91,24974.638580610885,2525.9118043966587
92,24945.598369889707,2516.585557190869
93,24813.478468792353,2492.9783309817562
94,24459.264449892045,2474.1088295291665
95,24357.061434971947,2519.543450108781
96,24408.62105609517,2460.3994631413216
97,24358.810723091832,2484.697097995852
98,24339.76874890321,2449.2256016823003
99,24776.925362291637,2546.5970166124703
100,25055.002904459565,2558.1561005997733
